CustomerID,recence_jours,frequence,montant_total,cluster,profil
12387,415,1,143.94,1,Clients perdus / inactifs
12388,16,8,3901.11,0,Clients VIP / fidèles
12389,403,3,1433.33,1,Clients perdus / inactifs
12390,80,1,504.84000000000003,2,Clients perdus / inactifs
12391,22,6,2724.84,0,Clients VIP / fidèles
12392,591,1,234.75000000000003,1,Clients perdus / inactifs
12393,72,6,2399.4500000000003,0,Clients VIP / fidèles
12394,64,2,1080.48,2,Clients perdus / inactifs
12395,19,15,4241.17,3,Clients VIP / fidèles
12396,674,1,931.43,1,Clients perdus / inactifs
12397,36,2,2214.9,0,Clients VIP / fidèles
12398,46,1,1435.66,2,Clients perdus / inactifs
12399,119,7,1842.3,0,Clients VIP / fidèles
12400,414,1,205.25,1,Clients perdus / inactifs
12401,303,1,69.3,1,Clients perdus / inactifs
12402,323,6,1136.9,0,Clients VIP / fidèles
12403,50,2,947.36,2,Clients perdus / inactifs
12405,149,1,1390.39,2,Clients perdus / inactifs
12406,22,5,6390.36,0,Clients VIP / fidèles
12407,50,5,1507.1200000000001,0,Clients VIP / fidèles
12408,33,8,3905.77,0,Clients VIP / fidèles
12409,79,7,23419.29,3,Clients VIP / fidèles
12410,309,3,773.71,1,Clients perdus / inactifs
12411,410,1,346.9,1,Clients perdus / inactifs
12412,75,6,2404.93,0,Clients VIP / fidèles
12413,67,4,871.45,0,Clients VIP / fidèles
12414,217,4,532.41,0,Clients VIP / fidèles
12415,24,24,144033.37,3,Clients VIP / fidèles
12416,657,1,202.56,1,Clients perdus / inactifs
12417,3,20,5998.41,3,Clients VIP / fidèles
12418,113,4,2021.2,0,Clients VIP / fidèles
12419,386,2,391.01,1,Clients perdus / inactifs
12420,64,1,600.39,2,Clients perdus / inactifs
12421,16,6,874.6,0,Clients VIP / fidèles
12422,96,12,3639.35,3,Clients VIP / fidèles
12423,1,10,2301.39,0,Clients VIP / fidèles
12424,163,4,3340.03,0,Clients VIP / fidèles
12425,78,2,1741.41,0,Clients VIP / fidèles
12426,195,2,1201.21,0,Clients VIP / fidèles
12427,22,3,699.8,2,Clients perdus / inactifs
12428,26,8,6405.26,3,Clients VIP / fidèles
12429,9,8,5842.41,3,Clients VIP / fidèles
12430,43,1,216.4,2,Clients perdus / inactifs
12431,36,25,10102.22,3,Clients VIP / fidèles
12432,43,4,4359.32,0,Clients VIP / fidèles
12433,1,10,16794.14,3,Clients VIP / fidèles
12434,85,3,1103.43,0,Clients VIP / fidèles
12435,80,6,13925.93,3,Clients VIP / fidèles
12436,100,1,429.01000000000005,2,Clients perdus / inactifs
12437,2,38,11282.4,3,Clients VIP / fidèles
12438,14,2,2466.85,0,Clients VIP / fidèles
12439,683,2,1142.88,1,Clients perdus / inactifs
12440,462,2,739.2,1,Clients perdus / inactifs
12441,367,1,155.55,1,Clients perdus / inactifs
12442,3,1,144.06,2,Clients perdus / inactifs
12443,732,1,365.31,1,Clients perdus / inactifs
12444,21,5,4085.46,0,Clients VIP / fidèles
12445,22,2,378.98,2,Clients perdus / inactifs
12446,58,1,1002.3100000000001,2,Clients perdus / inactifs
12447,243,1,431.49,2,Clients perdus / inactifs
12448,44,1,365.45,2,Clients perdus / inactifs
12449,22,5,4274.89,0,Clients VIP / fidèles
12450,156,5,688.2,0,Clients VIP / fidèles
12451,11,8,12629.88,3,Clients VIP / fidèles
12452,17,1,348.57,2,Clients perdus / inactifs
12453,134,1,707.09,2,Clients perdus / inactifs
12454,56,4,16459.78,0,Clients VIP / fidèles
12455,73,9,5722.95,3,Clients VIP / fidèles
12456,44,3,2581.04,0,Clients VIP / fidèles
12457,66,7,2555.91,0,Clients VIP / fidèles
12458,71,4,1502.49,0,Clients VIP / fidèles
12459,605,1,398.36,1,Clients perdus / inactifs
12460,456,1,296.65,1,Clients perdus / inactifs
12461,155,1,626.88,2,Clients perdus / inactifs
12462,19,2,937.59,2,Clients perdus / inactifs
12463,53,4,1200.78,0,Clients VIP / fidèles
12464,10,8,957.05,0,Clients VIP / fidèles
12465,17,2,682.1899999999999,2,Clients perdus / inactifs
12467,423,1,132.8,1,Clients perdus / inactifs
12468,188,5,3238.74,0,Clients VIP / fidèles
12469,523,2,3070.54,1,Clients perdus / inactifs
12470,690,1,211.95,1,Clients perdus / inactifs
12471,2,71,35099.9,3,Clients VIP / fidèles
12472,32,19,14971.289999999999,3,Clients VIP / fidèles
12473,54,3,2585.73,0,Clients VIP / fidèles
12474,17,29,11310.75,3,Clients VIP / fidèles
12475,54,2,1065.64,2,Clients perdus / inactifs
12476,16,18,12319.91,3,Clients VIP / fidèles
12477,23,9,20276.37,3,Clients VIP / fidèles
12478,4,1,545.99,2,Clients perdus / inactifs
12479,11,1,473.2,2,Clients perdus / inactifs
12480,28,7,4834.85,0,Clients VIP / fidèles
12481,23,14,11033.51,3,Clients VIP / fidèles
12482,576,27,21941.72,3,Clients VIP / fidèles
12483,17,19,4069.1800000000003,3,Clients VIP / fidèles
12484,35,9,5557.1,3,Clients VIP / fidèles
12485,529,1,708.1,1,Clients perdus / inactifs
12486,432,1,917.28,1,Clients perdus / inactifs
12487,731,1,285.29999999999995,1,Clients perdus / inactifs
12488,10,3,1244.66,0,Clients VIP / fidèles
12489,336,1,298.93,1,Clients perdus / inactifs
12490,5,20,8764.64,3,Clients VIP / fidèles
12491,39,1,424.40000000000003,2,Clients perdus / inactifs
12492,63,3,607.21,2,Clients perdus / inactifs
12493,166,2,415.74,2,Clients perdus / inactifs
12494,16,9,1563.27,0,Clients VIP / fidèles
12495,641,1,277.4,1,Clients perdus / inactifs
12496,620,2,45.34,1,Clients perdus / inactifs
12497,82,3,5996.5,0,Clients VIP / fidèles
12498,21,3,349.70000000000005,2,Clients perdus / inactifs
12499,560,1,357.72,1,Clients perdus / inactifs
12500,23,18,5559.21,3,Clients VIP / fidèles
12501,337,1,2025.39,1,Clients perdus / inactifs
12502,96,5,2995.87,0,Clients VIP / fidèles
12503,584,1,896.0,1,Clients perdus / inactifs
12504,18,4,689.05,0,Clients VIP / fidèles
12505,409,1,787.2,1,Clients perdus / inactifs
12506,233,1,73.5,2,Clients perdus / inactifs
12507,134,4,1508.06,0,Clients VIP / fidèles
12508,26,2,397.88,2,Clients perdus / inactifs
12509,284,1,158.5,2,Clients perdus / inactifs
12510,143,7,3039.03,0,Clients VIP / fidèles
12511,429,1,3084.02,1,Clients perdus / inactifs
12512,66,2,132.18,2,Clients perdus / inactifs
12513,113,1,558.29,2,Clients perdus / inactifs
12514,267,2,1597.76,0,Clients VIP / fidèles
12515,353,1,278.7,1,Clients perdus / inactifs
12516,78,4,2288.62,0,Clients VIP / fidèles
12517,28,4,2301.6,0,Clients VIP / fidèles
12518,1,5,1840.89,0,Clients VIP / fidèles
12519,64,2,626.54,2,Clients perdus / inactifs
12520,79,5,2346.2599999999998,0,Clients VIP / fidèles
12521,143,1,545.68,2,Clients perdus / inactifs
12522,39,2,156.72,2,Clients perdus / inactifs
12523,19,23,4010.35,3,Clients VIP / fidèles
12524,9,17,9794.11,3,Clients VIP / fidèles
12525,498,3,883.73,1,Clients perdus / inactifs
12526,1,3,1172.66,0,Clients VIP / fidèles
12527,82,5,717.51,0,Clients VIP / fidèles
12528,9,6,1645.48,0,Clients VIP / fidèles
12529,528,1,316.48,1,Clients perdus / inactifs
12530,60,9,3381.26,0,Clients VIP / fidèles
12531,15,2,1771.2,0,Clients VIP / fidèles
12532,30,1,313.83000000000004,2,Clients perdus / inactifs
12533,628,2,1223.89,1,Clients perdus / inactifs
12534,131,1,981.18,2,Clients perdus / inactifs
12535,92,2,716.35,2,Clients perdus / inactifs
12536,59,1,4279.71,0,Clients VIP / fidèles
12537,409,1,612.94,1,Clients perdus / inactifs
12538,29,2,640.45,2,Clients perdus / inactifs
12539,22,7,11186.75,3,Clients VIP / fidèles
12540,20,32,19250.49,3,Clients VIP / fidèles
12541,30,3,841.18,0,Clients VIP / fidèles
12542,484,2,481.88,1,Clients perdus / inactifs
12543,448,1,840.25,1,Clients perdus / inactifs
12544,36,1,316.7,2,Clients perdus / inactifs
12545,75,2,832.39,2,Clients perdus / inactifs
12546,47,2,1021.5,2,Clients perdus / inactifs
12547,198,3,299.58,2,Clients perdus / inactifs
12548,166,1,67.19999999999999,2,Clients perdus / inactifs
12549,576,5,1570.68,1,Clients perdus / inactifs
12550,79,1,824.83,2,Clients perdus / inactifs
12551,358,1,168.0,1,Clients perdus / inactifs
12552,40,1,317.82,2,Clients perdus / inactifs
12553,8,12,4104.75,3,Clients VIP / fidèles
12554,449,1,384.5,1,Clients perdus / inactifs
12556,50,2,599.56,2,Clients perdus / inactifs
12557,16,8,18096.14,3,Clients VIP / fidèles
12558,8,1,269.96,2,Clients perdus / inactifs
12559,311,2,525.71,1,Clients perdus / inactifs
12560,5,2,1918.01,0,Clients VIP / fidèles
12561,303,1,238.85,1,Clients perdus / inactifs
12562,8,9,4426.92,3,Clients VIP / fidèles
12563,409,1,221.24,1,Clients perdus / inactifs
12564,261,1,402.9,2,Clients perdus / inactifs
12565,289,1,145.92,2,Clients perdus / inactifs
12566,86,1,297.65,2,Clients perdus / inactifs
12567,23,15,10741.48,3,Clients VIP / fidèles
12568,645,1,52.0,1,Clients perdus / inactifs
12569,2,32,3152.69,3,Clients VIP / fidèles
12571,40,2,519.61,2,Clients perdus / inactifs
12572,9,2,912.42,2,Clients perdus / inactifs
12573,227,5,717.41,0,Clients VIP / fidèles
12574,316,1,182.45000000000002,1,Clients perdus / inactifs
12575,457,2,568.8199999999999,1,Clients perdus / inactifs
12576,36,8,2062.72,0,Clients VIP / fidèles
12577,35,8,1613.15,0,Clients VIP / fidèles
12578,21,4,4026.4500000000003,0,Clients VIP / fidèles
12579,78,1,386.42,2,Clients perdus / inactifs
12580,247,2,962.9,2,Clients perdus / inactifs
12581,40,1,179.71,2,Clients perdus / inactifs
12582,239,4,1820.4,0,Clients VIP / fidèles
12583,3,27,12493.58,3,Clients VIP / fidèles
12584,4,9,2254.15,0,Clients VIP / fidèles
12585,234,2,1824.1,0,Clients VIP / fidèles
12586,17,4,2062.67,0,Clients VIP / fidèles
12587,8,1,104.0,2,Clients perdus / inactifs
12588,39,3,718.78,2,Clients perdus / inactifs
12589,29,6,3294.91,0,Clients VIP / fidèles
12590,211,1,9341.26,0,Clients VIP / fidèles
12591,317,3,1114.95,0,Clients VIP / fidèles
12592,92,4,1723.6399999999999,0,Clients VIP / fidèles
12593,109,3,382.09999999999997,2,Clients perdus / inactifs
12594,38,14,4890.110000000001,3,Clients VIP / fidèles
12595,505,1,281.02,1,Clients perdus / inactifs
12596,51,2,450.27,2,Clients perdus / inactifs
12597,19,4,3195.22,0,Clients VIP / fidèles
12598,10,10,4192.09,3,Clients VIP / fidèles
12599,29,13,2026.72,3,Clients VIP / fidèles
12600,29,20,4385.85,3,Clients VIP / fidèles
12601,190,6,573.26,0,Clients VIP / fidèles
12602,59,1,153.12,2,Clients perdus / inactifs
12603,22,1,613.1999999999999,2,Clients perdus / inactifs
12604,79,2,236.18,2,Clients perdus / inactifs
12605,376,3,1124.95,1,Clients perdus / inactifs
12607,60,1,1579.51,2,Clients perdus / inactifs
12608,405,1,415.79,1,Clients perdus / inactifs
12609,78,9,3021.86,0,Clients VIP / fidèles
12610,23,4,1747.54,0,Clients VIP / fidèles
12611,52,1,1193.32,2,Clients perdus / inactifs
12612,74,1,668.0400000000001,2,Clients perdus / inactifs
12613,57,9,6277.37,3,Clients VIP / fidèles
12614,278,1,315.6,2,Clients perdus / inactifs
12615,2,8,5362.98,3,Clients VIP / fidèles
12616,95,3,1023.1,0,Clients VIP / fidèles
12617,29,1,352.98,2,Clients perdus / inactifs
12618,22,1,137.31,2,Clients perdus / inactifs
12619,16,9,3085.7,0,Clients VIP / fidèles
12620,15,3,1303.41,0,Clients VIP / fidèles
12621,2,35,22097.2,3,Clients VIP / fidèles
12622,232,1,162.1,2,Clients perdus / inactifs
12623,276,7,3315.84,0,Clients VIP / fidèles
12624,106,2,569.13,2,Clients perdus / inactifs
12625,212,4,4678.88,0,Clients VIP / fidèles
12626,23,9,5954.48,3,Clients VIP / fidèles
12627,11,6,4082.53,0,Clients VIP / fidèles
12628,4,3,732.46,0,Clients VIP / fidèles
12629,386,2,1198.22,1,Clients perdus / inactifs
12630,10,2,1030.88,2,Clients perdus / inactifs
12631,57,6,3321.57,0,Clients VIP / fidèles
12632,521,2,714.88,1,Clients perdus / inactifs
12633,59,7,5156.16,0,Clients VIP / fidèles
12634,548,1,360.0,1,Clients perdus / inactifs
12635,90,4,2624.41,0,Clients VIP / fidèles
12637,67,12,8085.8099999999995,3,Clients VIP / fidèles
12638,33,2,681.49,2,Clients perdus / inactifs
12639,239,3,1072.37,0,Clients VIP / fidèles
12640,24,3,994.58,0,Clients VIP / fidèles
12641,115,1,145.9,2,Clients perdus / inactifs
12642,25,3,905.26,0,Clients VIP / fidèles
12643,128,11,7803.82,3,Clients VIP / fidèles
12644,130,4,1900.49,0,Clients VIP / fidèles
12645,34,8,3215.3,0,Clients VIP / fidèles
12646,5,2,1346.97,0,Clients VIP / fidèles
12647,22,35,14109.55,3,Clients VIP / fidèles
12648,155,4,1039.0,0,Clients VIP / fidèles
12649,107,8,2096.65,0,Clients VIP / fidèles
12650,3,1,242.44000000000003,2,Clients perdus / inactifs
12651,335,4,377.75,1,Clients perdus / inactifs
12652,331,2,891.03,1,Clients perdus / inactifs
12653,149,3,4160.83,0,Clients VIP / fidèles
12654,11,5,529.98,0,Clients VIP / fidèles
12655,424,1,243.35000000000002,1,Clients perdus / inactifs
12656,17,8,5723.83,3,Clients VIP / fidèles
12657,11,4,1427.18,0,Clients VIP / fidèles
12658,19,1,632.05,2,Clients perdus / inactifs
12659,30,1,73.68,2,Clients perdus / inactifs
12660,11,1,227.1,2,Clients perdus / inactifs
12661,436,1,162.0,1,Clients perdus / inactifs
12662,1,20,6130.54,3,Clients VIP / fidèles
12663,625,2,185.4,1,Clients perdus / inactifs
12664,8,11,5420.04,3,Clients VIP / fidèles
12665,325,3,259.6,1,Clients perdus / inactifs
12666,394,1,1248.42,1,Clients perdus / inactifs
12667,58,1,460.13,2,Clients perdus / inactifs
12668,12,9,9906.03,3,Clients VIP / fidèles
12669,151,2,1427.73,0,Clients VIP / fidèles
12670,10,7,3436.29,0,Clients VIP / fidèles
12671,606,1,2622.48,1,Clients perdus / inactifs
12672,330,2,407.05,1,Clients perdus / inactifs
12673,5,3,1140.02,0,Clients VIP / fidèles
12674,39,4,1844.6,0,Clients VIP / fidèles
12675,554,2,873.25,1,Clients perdus / inactifs
12676,25,10,2333.09,0,Clients VIP / fidèles
12677,555,2,359.1,1,Clients perdus / inactifs
12678,42,17,32855.18,3,Clients VIP / fidèles
12679,59,4,951.02,0,Clients VIP / fidèles
12680,1,4,790.81,0,Clients VIP / fidèles
12681,15,44,26936.76,3,Clients VIP / fidèles
12682,4,51,20736.22,3,Clients VIP / fidèles
12683,4,20,10445.7,3,Clients VIP / fidèles
12684,8,6,2073.63,0,Clients VIP / fidèles
12685,28,6,2575.08,0,Clients VIP / fidèles
12686,372,1,71.14,1,Clients perdus / inactifs
12687,481,1,1858.91,1,Clients perdus / inactifs
12688,114,1,4873.8099999999995,0,Clients VIP / fidèles
12689,26,2,1139.61,2,Clients perdus / inactifs
12690,206,1,335.01,2,Clients perdus / inactifs
12691,28,6,1044.4,0,Clients VIP / fidèles
12692,637,1,110.95,1,Clients perdus / inactifs
12693,127,7,1415.02,0,Clients VIP / fidèles
12694,70,3,1663.35,0,Clients VIP / fidèles
12695,7,7,1371.1200000000001,0,Clients VIP / fidèles
12696,435,2,731.91,1,Clients perdus / inactifs
12697,29,3,757.59,0,Clients VIP / fidèles
12698,590,1,285.75,1,Clients perdus / inactifs
12699,418,1,566.11,1,Clients perdus / inactifs
12700,8,4,4525.99,0,Clients VIP / fidèles
12701,80,6,2248.41,0,Clients VIP / fidèles
12702,20,1,201.0,2,Clients perdus / inactifs
12703,71,4,898.53,0,Clients VIP / fidèles
12704,7,8,1740.84,0,Clients VIP / fidèles
12705,15,13,11114.1,3,Clients VIP / fidèles
12707,292,1,603.42,2,Clients perdus / inactifs
12708,30,18,4559.66,3,Clients VIP / fidèles
12709,15,32,29487.18,3,Clients VIP / fidèles
12710,97,3,1023.02,0,Clients VIP / fidèles
12711,612,2,1213.05,1,Clients perdus / inactifs
12712,29,21,5985.03,3,Clients VIP / fidèles
12713,1,1,794.55,2,Clients perdus / inactifs
12714,9,12,12815.710000000001,3,Clients VIP / fidèles
12715,106,1,263.36,2,Clients perdus / inactifs
12716,4,2,963.49,2,Clients perdus / inactifs
12717,151,3,1058.91,0,Clients VIP / fidèles
12718,71,1,202.25,2,Clients perdus / inactifs
12719,5,2,572.95,2,Clients perdus / inactifs
12720,3,29,6905.28,3,Clients VIP / fidèles
12721,32,8,3635.08,0,Clients VIP / fidèles
12722,85,4,979.63,0,Clients VIP / fidèles
12723,4,5,707.07,0,Clients VIP / fidèles
12724,5,7,2083.52,0,Clients VIP / fidèles
12725,371,3,1906.76,0,Clients VIP / fidèles
12726,28,11,3690.6,3,Clients VIP / fidèles
12727,11,10,4905.53,3,Clients VIP / fidèles
12728,71,5,926.17,0,Clients VIP / fidèles
12729,114,1,417.01,2,Clients perdus / inactifs
12730,522,1,703.25,1,Clients perdus / inactifs
12731,24,17,25631.71,3,Clients VIP / fidèles
12732,180,1,218.26000000000002,2,Clients perdus / inactifs
12733,234,4,2424.02,0,Clients VIP / fidèles
12734,353,3,603.65,1,Clients perdus / inactifs
12735,315,2,689.5699999999999,1,Clients perdus / inactifs
12736,333,1,144.0,1,Clients perdus / inactifs
12737,499,1,100.0,1,Clients perdus / inactifs
12738,372,1,137.35,1,Clients perdus / inactifs
12739,99,2,2421.23,0,Clients VIP / fidèles
12740,64,1,427.6,2,Clients perdus / inactifs
12741,533,1,236.07,1,Clients perdus / inactifs
12742,626,1,1201.52,1,Clients perdus / inactifs
12743,134,2,540.13,2,Clients perdus / inactifs
12744,56,8,13158.16,3,Clients VIP / fidèles
12745,487,2,723.85,1,Clients perdus / inactifs
12746,541,1,254.55,1,Clients perdus / inactifs
12747,2,26,8898.48,3,Clients VIP / fidèles
12748,1,322,49176.74,3,Clients VIP / fidèles
12749,4,9,6897.36,3,Clients VIP / fidèles
12750,129,1,275.88,2,Clients perdus / inactifs
12751,445,1,268.27,1,Clients perdus / inactifs
12752,81,1,4366.78,0,Clients VIP / fidèles
12753,23,6,21429.39,3,Clients VIP / fidèles
12754,236,3,3010.74,0,Clients VIP / fidèles
12755,281,11,5236.259999999999,3,Clients VIP / fidèles
12756,87,1,112.07999999999998,2,Clients perdus / inactifs
12757,16,9,4176.75,3,Clients VIP / fidèles
12758,117,7,9903.24,3,Clients VIP / fidèles
12759,52,8,4618.74,0,Clients VIP / fidèles
12760,456,1,317.8,1,Clients perdus / inactifs
12761,465,1,712.95,1,Clients perdus / inactifs
12762,8,2,1702.52,0,Clients VIP / fidèles
12763,138,2,494.08,2,Clients perdus / inactifs
12764,317,1,1693.88,1,Clients perdus / inactifs
12765,472,6,1299.58,1,Clients perdus / inactifs
12766,4,9,8134.99,3,Clients VIP / fidèles
12767,376,1,949.82,1,Clients perdus / inactifs
12768,451,1,168.69000000000003,1,Clients perdus / inactifs
12769,239,1,1143.6,2,Clients perdus / inactifs
12770,211,2,3246.45,0,Clients VIP / fidèles
12771,486,1,226.3,1,Clients perdus / inactifs
12772,60,1,752.47,2,Clients perdus / inactifs
12773,564,1,124.25,1,Clients perdus / inactifs
12774,536,1,83.7,1,Clients perdus / inactifs
12775,17,7,1551.12,0,Clients VIP / fidèles
12776,668,1,27.5,1,Clients perdus / inactifs
12777,458,1,519.45,1,Clients perdus / inactifs
12778,20,9,1541.68,0,Clients VIP / fidèles
12779,38,14,6474.11,3,Clients VIP / fidèles
12780,599,1,322.4,1,Clients perdus / inactifs
12781,64,2,786.74,2,Clients perdus / inactifs
12782,5,11,3862.2400000000002,3,Clients VIP / fidèles
12783,2,4,1295.87,0,Clients VIP / fidèles
12784,15,2,1511.15,0,Clients VIP / fidèles
12785,364,3,904.4,1,Clients perdus / inactifs
12786,610,1,668.5,1,Clients perdus / inactifs
12787,10,4,799.18,0,Clients VIP / fidèles
12788,463,4,384.9,1,Clients perdus / inactifs
12789,65,3,225.35,2,Clients perdus / inactifs
12790,192,2,546.85,2,Clients perdus / inactifs
12791,374,5,656.83,1,Clients perdus / inactifs
12792,257,2,715.01,2,Clients perdus / inactifs
12793,335,3,745.53,1,Clients perdus / inactifs
12794,53,2,860.41,2,Clients perdus / inactifs
12795,19,1,318.48,2,Clients perdus / inactifs
12796,628,1,351.0,1,Clients perdus / inactifs
12797,366,2,468.08000000000004,1,Clients perdus / inactifs
12798,10,4,8510.93,0,Clients VIP / fidèles
12799,529,1,219.35,1,Clients perdus / inactifs
12800,470,2,500.25,1,Clients perdus / inactifs
12801,501,1,871.82,1,Clients perdus / inactifs
12802,187,5,2186.42,0,Clients VIP / fidèles
12803,393,1,1017.81,1,Clients perdus / inactifs
12804,466,2,325.37,1,Clients perdus / inactifs
12805,382,4,1230.95,1,Clients perdus / inactifs
12806,572,2,2558.96,1,Clients perdus / inactifs
12807,383,1,250.35,1,Clients perdus / inactifs
12808,37,5,748.7,0,Clients VIP / fidèles
12809,178,3,1384.3400000000001,0,Clients VIP / fidèles
12810,535,2,534.99,1,Clients perdus / inactifs
12811,262,4,893.9,0,Clients VIP / fidèles
12812,45,1,229.64000000000001,2,Clients perdus / inactifs
12813,502,3,1621.8,1,Clients perdus / inactifs
12814,102,1,85.92,2,Clients perdus / inactifs
12815,148,2,863.46,2,Clients perdus / inactifs
12816,96,2,452.20000000000005,2,Clients perdus / inactifs
12817,281,3,570.98,2,Clients perdus / inactifs
12818,262,1,1182.0800000000002,2,Clients perdus / inactifs
12819,458,1,540.52,1,Clients perdus / inactifs
12820,3,11,2689.52,3,Clients VIP / fidèles
12821,214,2,220.8,2,Clients perdus / inactifs
12822,71,2,948.88,2,Clients perdus / inactifs
12823,75,18,6501.5,3,Clients VIP / fidèles
12824,60,1,397.12,2,Clients perdus / inactifs
12825,521,2,518.63,1,Clients perdus / inactifs
12826,3,12,2800.75,3,Clients VIP / fidèles
12827,6,3,430.15000000000003,2,Clients perdus / inactifs
12828,3,6,1018.71,0,Clients VIP / fidèles
12829,337,3,385.3,1,Clients perdus / inactifs
12830,38,6,6814.64,0,Clients VIP / fidèles
12831,262,3,451.11,2,Clients perdus / inactifs
12832,32,2,383.03,2,Clients perdus / inactifs
12833,145,1,417.38,2,Clients perdus / inactifs
12834,283,1,312.38,2,Clients perdus / inactifs
12835,428,41,5996.83,3,Clients VIP / fidèles
12836,59,15,6559.7300000000005,3,Clients VIP / fidèles
12837,173,2,662.66,2,Clients perdus / inactifs
12838,34,10,2975.91,0,Clients VIP / fidèles
12839,3,26,9669.12,3,Clients VIP / fidèles
12840,144,7,4041.97,0,Clients VIP / fidèles
12841,5,40,6958.2,3,Clients VIP / fidèles
12842,70,4,1917.99,0,Clients VIP / fidèles
12843,66,28,6461.87,3,Clients VIP / fidèles
12844,29,4,648.6,0,Clients VIP / fidèles
12845,267,4,354.09,2,Clients perdus / inactifs
12847,22,2,1609.0,0,Clients VIP / fidèles
12848,676,1,208.0,1,Clients perdus / inactifs
12849,31,6,3015.98,0,Clients VIP / fidèles
12850,446,1,330.0,1,Clients perdus / inactifs
12851,97,2,280.76,2,Clients perdus / inactifs
12852,295,1,311.55,2,Clients perdus / inactifs
12853,135,11,3907.5,3,Clients VIP / fidèles
12854,79,7,2970.9700000000003,0,Clients VIP / fidèles
12855,373,4,612.84,1,Clients perdus / inactifs
12856,8,6,2170.78,0,Clients VIP / fidèles
12857,211,6,3688.0,0,Clients VIP / fidèles
12858,383,1,147.27,1,Clients perdus / inactifs
12859,459,1,575.1,1,Clients perdus / inactifs
12860,693,1,54.22,1,Clients perdus / inactifs
12861,620,1,68.25,1,Clients perdus / inactifs
12862,426,2,984.62,1,Clients perdus / inactifs
12863,52,6,2792.5499999999997,0,Clients VIP / fidèles
12864,138,2,299.57,2,Clients perdus / inactifs
12865,26,4,3323.47,0,Clients VIP / fidèles
12866,283,3,1092.35,0,Clients VIP / fidèles
12867,26,13,7829.26,3,Clients VIP / fidèles
12868,186,8,2043.76,0,Clients VIP / fidèles
12869,682,1,337.66999999999996,1,Clients perdus / inactifs
12870,375,3,1676.95,1,Clients perdus / inactifs
12871,84,3,744.02,0,Clients VIP / fidèles
12872,327,12,3283.96,0,Clients VIP / fidèles
12873,282,3,2027.3,0,Clients VIP / fidèles
12874,385,2,873.42,1,Clients perdus / inactifs
12875,143,5,1356.99,0,Clients VIP / fidèles
12876,58,4,3751.79,0,Clients VIP / fidèles
12877,4,20,2942.14,3,Clients VIP / fidèles
12878,236,2,854.99,2,Clients perdus / inactifs
12879,45,3,573.22,2,Clients perdus / inactifs
12880,382,2,640.13,1,Clients perdus / inactifs
12881,276,1,298.0,2,Clients perdus / inactifs
12882,9,2,1463.04,0,Clients VIP / fidèles
12883,25,4,703.47,0,Clients VIP / fidèles
12884,88,1,309.05,2,Clients perdus / inactifs
12885,63,3,1175.22,0,Clients VIP / fidèles
12886,68,2,1378.4,0,Clients VIP / fidèles
12887,384,1,222.4,1,Clients perdus / inactifs
12888,214,2,354.12,2,Clients perdus / inactifs
12889,381,4,385.46000000000004,1,Clients perdus / inactifs
12890,24,2,706.02,2,Clients perdus / inactifs
12891,186,11,840.5,0,Clients VIP / fidèles
12892,397,1,263.38,1,Clients perdus / inactifs
12893,31,1,176.55,2,Clients perdus / inactifs
